what,kind,bundleId,bundleVersion,description,time
closed,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267794829261
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267794842183
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267795568610
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795568721
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267795574223
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267795574582
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795583303
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795596315
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795603081
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795603179
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1267795603182
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267795638919
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267795650212
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795659416
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795663898
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.cut",1267795681846
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267795684244
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795746191
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795770905
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1267795800994
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267795802282
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795818622
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267795937605
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.copy",1267795943262
activated,editor,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui.manifestEditor",1267795945295
