what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1267724201451
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267724201751
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1267724201834
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724209097
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724209209
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1267724209212
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267724211536
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267724215107
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724242321
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724242412
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1267724242417
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724254042
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724267281
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267724309338
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724321946
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267724322073
executed,command,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1267724322078
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267724375126
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267752752998
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267794053241
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267794159792
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1267794175761
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1267794177827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267794179433
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1267794179698
